Date,Arrival tourism in Taiwan (person),Domestic GDP of Taiwan(millions),Tourism attractions # in Taiwan (sum),CPI of Taiwan (2011 as 100),Average exchange rate of Taiwan (US dollars),GNI of Taiwan (millions),NI of Taiwan (millions),National park # of Taiwan,National scenic area # of Taiwan,Government-owned recreational area # of Taiwan,Privately-owned recreational area # of Taiwan,International port inward & outward per ship,International Tourist Hotels room rate ($) in Taipei,Tourist Hotels room rate ($) in Taipei,Aircraft Movement daily average per plane,exchange rate 10 day buy in (NT$),exchange rate 10 day sell out (NT$),WTI oil price dollars per barrel (US$),Hong Kong CPI,Japan GDP,Japan population,Public expenditure total (NT$),Budget (NT$),National defence expenditure (NT$),Education & science & culture expenditure (NT$),Economy expediture (NT$),Social welfare (NT$),Community development & environment protection expediture (NT$),Retirement expenditure (NT$),Debt expenditure (NT$),Subsidy expenditure (NT$),Treatment adjustment expenditure (NT$),Other expenditure (NT$),Before budget (NT$),Special budget expenditure (NT$),Out of budget expenditure (NT$),Catering revenue (NT$),Restaurant revenue (NT$),Drinking revenue (NT$),Other catering revenue (NT$),International airline people,Hotel #,Hotel room #,Tourism hotel #,Tourism hotel room #,Train carrying #,Average train carrying daily people,Usage percentage of train,Train on-time rate,Train revenue (NT$),Composite retail revenue (NT$),Department revenue (NT$),Supermarket revenue (NT$),Convinent store revenue (NT$),Retail mall revenue (NT$),Other retail revenue (NT$),Food & drink retail revenue (NT$),Clothe retail revenue (NT$),Furniture trtail revenue (NT$),Drug & cosmetic retail revenue (NT$),Recreational retail revenue (NT$),Building material retail revenue (NT$),Fuel retail revenue (NT$),Technology retail revenue (NT$),Vehicle retail revenue (NT$),Other special retail revenue (NT$),No-storefront retail revenue (NT$),Two coast plane,Transit people,Intra-nation plane people
01/11/1999,175481,2561579,230,89.53,31.7,2598087,2291047,33,19,19,39,5764,3380,1890,?,31.551,31.704,25,53726,0,19144,-0.1,133847.6,126631000,34754947,23342390,20321429,4651568,2216286,14611900,182997,0,4856951,13262267,2360789,74564496,22463854,18698133,2578211,1187510,1376256,80,20274,80,20274,14897,496556,42.2,93,1232761,"45,166,730 ","11,438,007 ","6,787,294 ","9,289,140 ","8,371,739 ","9,280,550 ","19,850,548 ","19,766,966 ","15,321,930 ","7,691,889 ","7,077,190 ","3,007,939 ","12,892,929 ","18,989,927 ","38,141,298 ","4,234,570 ","6,235,678 ",0,156809,2545447
01/12/1999,172595,2561579,230,88.99,31.7,2598087,2291047,33,19,19,39,5718,3380,1890,?,31.318,31.595,26.1,53922,0,23066,-0.2,133847.6,126631000,36200715,26600066,20245001,6272192,46338772,14628700,230520,0,6099610,16826159,9011622,6838911,23389499,19550175,2659176,1180147,1334678,80,20274,80,20274,16020,516765,43.83,93.14,1336413,"48,816,590 ","13,707,302 ","7,239,905 ","9,341,059 ","8,829,616 ","9,698,708 ","20,214,690 ","20,462,322 ","15,796,286 ","7,725,221 ","7,312,597 ","3,069,833 ","12,942,595 ","19,752,801 ","37,818,481 ","4,313,773 ","6,655,862 ",0,163394,2471482
01/01/2000,180922,2497930,250,88.71,30.74,2533808,2242449,34,35,35,39,5786,3451,1968,?,30.602,30.757,27.26,56008,0,21209,-0.5,124918.3,126843000,75579667,32268289,45427086,7190704,25188323,9087169,8914769,0,3718906,14449883,5045792,-5389567,23440420,19531563,2717516,1191340,1250733,80,20274,80,20274,13981,451012,61.19,94.91,1294585,"49,172,012 ","13,414,185 ","7,196,008 ","9,434,800 ","9,442,234 ","9,684,786 ","19,713,759 ","20,483,647 ","15,797,182 ","7,650,421 ","7,200,047 ","3,141,723 ","12,859,779 ","19,846,292 ","38,282,446 ","4,308,166 ","6,750,855 ",0,163454,2221157
01/02/2000,190108,2497930,250,90.02,30.74,2533808,2242449,34,35,35,39,4830,3451,1968,?,30.681,30.792,29.37,61878,0,28259,-0.4,124918.3,126843000,34764791,20577393,24441251,3579905,4966632,4170900,230531,0,3104513,9060592,3068008,37666556,23101583,19072387,2855890,1173306,1638587,80,20274,80,20274,15781,544166,72.72,93.35,1560827,"48,544,883 ","14,030,527 ","7,091,461 ","9,360,262 ","8,638,090 ","9,424,542 ","19,341,443 ","20,307,652 ","15,514,637 ","7,680,859 ","7,264,583 ","3,046,321 ","12,390,484 ","19,451,975 ","38,158,460 ","4,160,185 ","6,398,199 ",0,145620,2622519
01/03/2000,223654,2497930,250,88.48,30.74,2533808,2242449,34,35,35,39,6052,3451,1968,?,30.436,30.557,29.84,78422,0,26502,-0.3,124918.3,126843000,35839719,22345605,20703312,8107803,5123373,7135982,224844,0,4442622,6051976,6253537,1472594,23315802,19320847,2762565,1232390,1476081,80,20274,80,20274,15730,507424,67.25,93.69,1402045,"48,969,623 ","13,507,846 ","6,982,290 ","9,605,772 ","9,078,753 ","9,794,961 ","20,039,491 ","20,441,084 ","15,604,544 ","7,711,503 ","7,470,311 ","3,029,112 ","13,573,904 ","19,622,979 ","40,503,447 ","4,306,635 ","6,863,400 ",0,174754,2276717
01/04/2000,217576,2511843,250,89.22,30.68,2539819,2234070,34,35,35,39,6189,3451,1968,?,30.556,30.675,25.72,64682,0,32962,-0.2,125977.9,126843000,29644646,20378037,17158290,3423202,3317368,12488514,547962,0,7579900,6953733,2100053,47699690,22775134,18835542,2697606,1241986,1729786,79,20074,79,20074,16320,543996,72,92.33,1458060,"50,082,580 ","13,697,505 ","6,898,619 ","9,912,270 ","9,844,963 ","9,729,223 ","19,980,961 ","19,841,127 ","15,964,345 ","7,531,415 ","7,357,223 ","2,934,228 ","13,290,846 ","20,244,237 ","37,919,104 ","4,482,587 ","6,817,994 ",0,158708,2299727
01/05/2000,216692,2511843,250,89.77,30.68,2539819,2234070,34,35,35,39,6450,3451,1968,?,30.71,30.839,28.79,72099,0,26517,-0.2,125977.9,126843000,33527593,29739029,18733917,3990251,5117405,6407511,201799,0,2978612,6371103,6953417,11309664,24676254,20655419,2834163,1186672,1657901,79,20074,79,20074,15997,516021,67.89,92.68,1386503,"51,438,799 ","13,931,097 ","7,060,853 ","9,970,271 ","10,290,792 ","10,185,787 ","20,161,965 ","20,425,914 ","15,852,115 ","7,722,515 ","7,496,306 ","2,894,336 ","13,798,255 ","19,944,621 ","38,660,607 ","4,579,964 ","7,147,710 ",0,169887,2253951
01/06/2000,225069,2511843,250,89.65,30.68,2539819,2234070,34,35,35,39,5889,3451,1968,?,30.729,30.83,31.82,69804,0,33461,-0.3,125977.9,126843000,27215199,23634387,27170012,4341518,37170228,16535463,216235,0,1817548,5890635,12155846,4650390,24902149,20699107,2980221,1222821,1752280,79,20074,79,20074,14668,488940,68.32,93.4,1346806,"50,404,031 ","11,791,618 ","7,323,205 ","10,211,914 ","10,691,215 ","10,386,078 ","20,659,423 ","20,333,749 ","15,978,974 ","7,809,475 ","7,385,491 ","2,913,434 ","13,646,494 ","20,310,912 ","40,132,283 ","4,638,060 ","7,128,833 ",0,164371,2194761
01/07/2000,217302,2598637,250,89.16,31.07,2630134,2329423,34,35,35,39,6120,3451,1968,?,30.988,31.108,29.7,76173,0,29772,-0.2,124216.4,126843000,37748123,21690464,38067468,3547771,17407306,6008873,4275632,0,2549861,5277540,1996051,3202360,26615263,22208726,3124886,1281651,1972854,78,19490,78,19490,16085,518865,77.66,93.29,1591211,"52,042,858 ","12,632,891 ","7,380,099 ","10,310,831 ","10,998,932 ","10,720,104 ","20,910,571 ","19,886,992 ","16,223,653 ","7,869,115 ","7,454,412 ","2,895,351 ","14,147,779 ","20,600,988 ","39,840,148 ","4,533,730 ","7,435,958 ",0,168622,2444433
01/08/2000,220227,2598637,250,89.44,31.07,2630134,2329423,34,35,35,39,6071,3451,1968,?,30.996,31.105,31.26,80634,0,33131,-0.2,124216.4,126843000,33747619,24938259,19490811,4290782,6610774,27078637,641909,0,5864847,4909396,2156987,6440050,26618306,22348412,3022452,1247442,1859483,78,19473,78,19473,15991,515826,76.87,92.77,1534817,"52,844,316 ","12,297,834 ","7,972,781 ","10,505,534 ","11,242,732 ","10,825,435 ","21,322,963 ","20,036,961 ","16,596,656 ","7,642,187 ","7,685,339 ","2,799,264 ","13,640,818 ","21,115,985 ","38,484,879 ","4,598,321 ","7,485,825 ",0,184194,2104177
01/09/2000,221504,2598637,250,90.69,31.07,2630134,2329423,34,35,35,39,6048,3451,1968,?,31.25,31.36,33.88,83661,0,33689,-0.2,124216.4,126843000,37248598,18776487,19246707,4066305,2573388,15057711,539452,0,1818871,3734532,4274730,14714154,25620970,21402146,3036903,1181921,1678173,78,19473,78,19473,16658,555262,73.95,93.46,1498157,"49,356,941 ","10,624,911 ","7,448,662 ","10,592,491 ","10,251,442 ","10,439,435 ","20,507,687 ","18,899,571 ","16,710,721 ","7,786,189 ","7,959,688 ","2,852,615 ","13,994,329 ","21,330,020 ","39,789,246 ","4,511,786 ","7,564,252 ",0,163499,2151300
01/10/2000,249352,2742850,250,90.71,32.45,2787057,2463615,34,35,35,39,6032,3451,1968,?,32.294,32.431,33.11,89841,0,34118,-0.2,134747.4,126843000,33926270,19710338,17705802,4168011,3066901,27598978,1552072,0,3725668,4700791,2073639,11224703,25756912,21582999,3037882,1136032,1703436,78,19473,78,19473,17144,553042,71,93.2,1431727,"49,598,380 ","11,236,575 ","7,064,168 ","10,651,820 ","9,829,620 ","10,816,197 ","19,656,038 ","18,969,622 ","16,568,001 ","8,105,630 ","7,673,365 ","2,875,203 ","14,468,716 ","20,678,737 ","38,087,180 ","4,580,743 ","7,323,083 ",0,146604,2070986
01/11/2000,232810,2742850,250,91.55,32.45,2787057,2463615,34,35,35,39,5733,3451,1968,?,32.956,33.141,34.42,96302,0,27857,0.0,134747.4,126843000,30853881,26844851,21929587,3661682,2704428,14109544,1830968,0,4899468,5119272,5549449,-4958814,24940673,20859956,2999978,1080740,1539249,78,19473,78,19473,15236,507876,71.4,90.48,1276875,"49,894,627 ","12,494,723 ","6,972,759 ","10,357,457 ","9,588,270 ","10,481,419 ","20,200,919 ","18,939,282 ","16,633,908 ","7,903,323 ","7,560,427 ","2,826,580 ","13,952,051 ","20,753,419 ","36,355,620 ","4,441,335 ","7,238,102 ",0,154094,1949033
01/12/2000,228821,2742850,250,90.46,32.45,2787057,2463615,34,35,35,39,6145,3451,1968,?,32.999,33.144,28.44,86797,0,33831,+0.1,134747.4,126843000,21505296,45497791,35522326,8258474,3978844,15764843,1146202,0,6624541,10500548,16113419,77398807,25701814,21527171,3064918,1109725,1521864,80,19928,80,19928,17887,576999,73.15,91.16,1485428,"51,190,437 ","12,515,791 ","7,020,647 ","10,690,714 ","10,144,224 ","10,819,060 ","20,812,879 ","19,648,076 ","16,732,323 ","8,130,749 ","7,851,403 ","2,924,126 ","14,247,887 ","20,690,539 ","34,835,258 ","4,315,648 ","7,118,236 ",0,182608,2061326
01/01/2001,212103,2533134,0,90.8,32.53,2588329,2262496,0,0,0,0,5556,3528,1994,?,32.267,32.427,29.59,72705,18217,27638,0.0,125893,127149000,74155485,15781716,44076832,5147234,66416564,12502322,14062570,134569,920706,3275213,328968777,39003638,22367532,18368528,2943414,1055591,1623085,80,19928,80,19928,17024,549170,69.37,93.75,1520969,"53,581,959 ","13,896,545 ","7,444,977 ","11,058,725 ","10,587,675 ","10,594,036 ","21,737,101 ","19,842,488 ","15,908,418 ","7,827,820 ","7,570,464 ","2,753,363 ","13,599,399 ","19,586,289 ","36,440,838 ","4,167,295 ","6,445,594 ",0,170710,2203484
01/02/2001,246509,2533134,0,89.1,32.53,2588329,2262496,0,0,0,0,5471,3528,1994,?,32.26,32.422,29.61,102187,15890,27755,-0.4,125893,127149000,24646843,10834594,24727270,3265800,5022841,6173143,220713,381293,1518379,4095926,519960,3470334,21320706,17507727,2767246,1045733,1476054,80,19962,80,19962,16904,603718,75.59,93.76,1420510,"49,050,072 ","12,626,340 ","6,793,816 ","10,360,309 ","9,558,966 ","9,710,641 ","20,626,148 ","19,449,733 ","16,089,183 ","7,530,258 ","7,490,880 ","2,821,215 ","12,886,816 ","19,930,596 ","33,631,639 ","4,251,084 ","6,202,929 ",0,156095,1859479
01/03/2001,266176,2533134,0,88.86,32.53,2588329,2262496,0,0,0,0,6466,3528,1994,?,32.724,32.888,27.24,102385,18480,38222,-0.3,125893,127149000,33838978,15763370,35661417,4727822,3955303,11261331,131598,382050,862431,15777810,2054692,477969,20312541,16583692,2734235,994613,1636627,80,19957,80,19957,16500,532272,70.24,93.69,1430973,"49,932,409 ","11,878,141 ","7,014,572 ","10,979,337 ","9,773,066 ","10,287,292 ","21,207,125 ","19,229,800 ","15,983,058 ","8,075,209 ","7,888,334 ","2,711,825 ","14,058,856 ","20,251,579 ","34,561,700 ","4,088,522 ","6,701,254 ",0,182143,2084703
01/04/2001,247999,2448239,0,89.59,33.48,2496931,2160403,0,0,0,0,6342,3528,1994,?,32.818,32.958,27.49,79962,17628,40011,-0.1,125736.8,127149000,33692990,25744898,31003962,3973268,5214131,10432967,119485,268875,881127,18949217,5498446,45032605,19896062,16370961,2532175,992927,1766875,80,19957,80,19957,16415,547176,71.45,93.89,1452923,"48,775,822 ","11,793,551 ","6,973,068 ","10,595,692 ","9,884,973 ","9,528,538 ","20,850,966 ","18,747,394 ","15,206,423 ","8,018,493 ","7,466,501 ","2,588,774 ","13,714,841 ","19,212,391 ","33,846,880 ","4,068,577 ","6,435,049 ",0,174198,2212928
01/05/2001,240696,2448239,0,89.57,33.48,2496931,2160403,0,0,0,0,6286,3528,1994,?,33.88,34.015,28.63,84574,17132,30193,+0.1,125736.8,127149000,33045527,18325132,29409259,4350798,4128698,9082753,134960,254597,483891,14917999,1509872,21336142,21381344,17737405,2619512,1024426,1704845,80,19941,80,19941,16116,519869,66.13,95.24,1370442,"51,362,986 ","12,549,260 ","7,370,305 ","11,182,624 ","10,624,220 ","9,636,576 ","21,835,803 ","19,432,828 ","14,987,712 ","8,058,215 ","7,569,428 ","2,486,275 ","14,261,342 ","18,792,991 ","33,234,566 ","4,137,571 ","6,255,350 ",0,174951,2128117
01/06/2001,253597,2448239,0,89.52,33.48,2496931,2160403,0,0,0,0,6192,3528,1994,?,34.366,34.518,27.6,79456,17638,40803,+0.1,125736.8,127149000,32119780,22152617,27628941,7022160,38858875,10762489,2483254,697009,321505,14191240,13750555,-600984,22119658,18388570,2735429,995659,1810182,82,20343,82,20343,14682,489405,66.72,94.15,1386680,"51,470,697 ","12,645,434 ","7,684,585 ","12,028,703 ","10,083,119 ","9,028,856 ","21,823,623 ","18,497,122 ","15,116,138 ","7,834,395 ","7,817,554 ","2,532,188 ","14,349,292 ","19,006,196 ","32,927,854 ","3,980,075 ","6,399,640 ",0,167569,2139790
01/07/2001,232608,2487095,0,89.25,34.66,2532102,2198786,0,0,0,0,6047,3528,1994,?,34.659,34.807,26.42,84373,17984,32562,-0.1,122426.7,127149000,32828930,17594770,40605621,4632812,22943475,10202768,2262610,3771597,1176756,10021631,2381727,21166387,23061897,19146539,2853298,1062060,1870243,82,20320,82,20320,15352,495214,73.06,92.32,1432562,"53,504,111 ","13,091,575 ","7,963,953 ","12,313,523 ","10,700,598 ","9,434,461 ","22,627,493 ","19,417,665 ","15,157,227 ","7,446,115 ","7,614,955 ","2,551,503 ","14,793,948 ","19,029,809 ","35,155,681 ","4,024,151 ","6,411,621 ",0,186004,2212665
01/08/2001,240704,2487095,0,89.84,34.66,2532102,2198786,0,0,0,0,6557,3528,1994,?,34.473,34.591,27.37,85968,20279,41229,-0.1,122426.7,127149000,44725697,23533036,37554768,4496487,5904707,22612954,1456632,232206,2395821,12452329,13110073,24045098,23366263,19344248,2903392,1118623,1862767,82,20320,82,20320,15918,513492,74.61,90.18,1533563,"56,251,654 ","13,547,721 ","8,223,664 ","12,631,058 ","12,035,533 ","9,813,677 ","23,409,034 ","19,515,953 ","15,630,692 ","7,888,844 ","7,830,677 ","2,676,950 ","14,876,807 ","19,851,397 ","32,985,834 ","4,255,044 ","6,562,058 ",0,198896,2436980
01/09/2001,216500,2487095,0,90.22,34.66,2532102,2198786,0,0,0,0,5370,3528,1994,?,34.471,34.601,26.2,76455,15749,38500,-0.2,122426.7,127149000,37065779,23045462,29215890,3496588,4505271,17662153,1163342,643507,736770,10477045,12569295,-1459503,21231569,17519038,2688717,1023813,1424692,82,20320,82,20320,12624,420812,63.12,89.29,983621,"52,013,466 ","11,667,033 ","8,273,673 ","11,264,469 ","11,567,786 ","9,240,506 ","20,736,084 ","17,573,830 ","14,706,068 ","7,154,673 ","7,192,213 ","2,523,256 ","13,781,046 ","18,574,098 ","30,238,620 ","3,863,927 ","6,230,882 ",0,147913,1585592
01/10/2001,213603,2689741,0,91.59,34.58,2732871,2394214,0,0,0,0,6416,3528,1994,?,34.471,34.604,22.17,67125,16452,36309,-0.2,131486.8,127149000,43225888,24194628,23157932,4992565,2318747,24465649,2084071,952132,1359650,8518491,14316485,2074275,20681482,16898893,2739195,1043394,1465281,82,20537,82,20537,14540,469019,61.96,87.64,1230166,"52,480,169 ","13,367,343 ","7,336,176 ","11,058,542 ","10,800,593 ","9,917,516 ","20,026,400 ","19,122,747 ","15,967,956 ","7,801,879 ","7,790,047 ","2,791,074 ","14,369,368 ","20,197,406 ","35,092,369 ","4,076,051 ","6,511,098 ",0,125896,1975796
01/11/2001,217828,2689741,0,90.51,34.58,2732871,2394214,0,0,0,0,5962,3528,1994,?,34.409,34.536,19.64,68589,17644,36796,-0.1,131486.8,127149000,39889676,40613206,22990756,5522786,2370669,15633584,1520417,211940,1837559,10887601,8026372,19183901,22079090,18300225,2787914,990951,1368417,82,20537,82,20537,14558,485259,63.66,91.76,1242582,"54,299,926 ","16,389,967 ","7,037,324 ","10,685,499 ","10,356,724 ","9,830,412 ","21,414,143 ","20,097,922 ","16,502,924 ","8,190,402 ","7,968,607 ","2,854,106 ","14,739,796 ","20,796,521 ","32,085,436 ","3,958,639 ","6,518,932 ",0,119148,1859371
01/12/2001,242712,2689741,263,88.93,34.58,2732871,2394214,38,37,47,54,6048,3528,1994,?,34.939,35.066,19.39,72971,17957,45146,-0.8,131486.8,127149000,32831505,52347098,51791220,11206907,5761560,18127916,1689788,623562,3577734,22633633,8033657,42564660,23558488,19443450,3070003,1045035,1491651,83,20789,83,20789,15445,498219,64.72,92.45,1329265,"55,410,503 ","15,233,382 ","7,490,254 ","11,557,196 ","11,461,856 ","9,667,814 ","22,616,984 ","20,559,205 ","16,907,457 ","8,537,586 ","8,403,659 ","3,009,762 ","14,685,063 ","21,390,589 ","30,528,088 ","4,067,686 ","6,808,711 ",0,166140,1915079
01/01/2002,217600,2593621,252,89.28,35.04,2660384,2293439,32,65,50,50,5896,3438,1993,?,34.9,35.038,19.71,75038,17607,28065,-0.8,122060.4,127445000,59348564,11030882,33832079,3952227,61056189,19469360,1179467,0,422687,15800887,37127999,28954337,22260748,18272339,2941335,1047074,1465725,83,20392,83,20392,14293,461058,65.7,93.35,1345041,"54,839,383 ","14,475,915 ","7,131,184 ","11,326,193 ","11,793,711 ","10,112,380 ","23,356,268 ","21,305,997 ","16,866,196 ","8,319,384 ","7,931,182 ","2,868,040 ","13,944,948 ","21,346,539 ","33,320,025 ","4,035,035 ","6,359,249 ",0,184884,1611762
